Feature,Importance
lbp-2D_glrlm_ShortRunEmphasis,0.17737829834919658
log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.06646804809686778
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.04982600100020386
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.049460398958280916
Age,0.047683588357147866
lbp-3D-m2_firstorder_MeanAbsoluteDeviation,0.046795451167102514
gradient_glcm_Idn,0.044924436672029465
wavelet-HLL_glcm_ClusterShade,0.03924496695978047
logarithm_glrlm_ShortRunLowGrayLevelEmphasis,0.03602943432210437
original_glszm_LowGrayLevelZoneEmphasis,0.035991025564663666
lbp-3D-k_firstorder_RobustMeanAbsoluteDeviation,0.03437281762511637
wavelet-LLL_glszm_SmallAreaEmphasis,0.033710066382754866
log-sigma-3-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.03347228171209117
log-sigma-5-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.03254052478599091
log-sigma-4-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.029953364980074455
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.028740150541646924
lbp-2D_firstorder_Kurtosis,0.028524249427629808
squareroot_ngtdm_Coarseness,0.027547889937818922
logarithm_glrlm_GrayLevelNonUniformity,0.02680335237193191
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.025016462213803117
lbp-3D-k_glszm_LowGrayLevelZoneEmphasis,0.02377034144563434
lbp-3D-m2_firstorder_10Percentile,0.021889404437077726
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,0.01949334717958684
wavelet-HLH_firstorder_Maximum,0.017737512599072587
wavelet-HLL_firstorder_Range,0.01650842839271261
wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.006118156519680114
wavelet-HHH_glcm_ClusterTendency,0.0
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.0
original_glcm_MaximumProbability,0.0
wavelet-HLH_gldm_SmallDependenceEmphasis,0.0
squareroot_glrlm_ShortRunLowGrayLevelEmphasis,0.0
gradient_firstorder_Range,0.0
wavelet-HHH_glcm_Idn,0.0
wavelet-HLH_firstorder_Uniformity,0.0
wavelet-LHL_glcm_DifferenceEntropy,0.0
logarithm_glcm_Autocorrelation,0.0
wavelet-HLH_firstorder_InterquartileRange,0.0
logarithm_glcm_JointAverage,0.0
gradient_glszm_ZonePercentage,0.0
wavelet-LHH_glszm_GrayLevelVariance,0.0
wavelet-HLH_glcm_Correlation,0.0
log-sigma-3-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.0
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.0
log-sigma-4-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.0
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.0
logarithm_firstorder_Kurtosis,0.0
gradient_glrlm_RunPercentage,0.0
squareroot_firstorder_Range,0.0
