                                                       Column  Outliers
                                        wavelet-HLH_glcm_Idmn        74
                                   wavelet-HLH_ngtdm_Busyness        74
                                   wavelet-HLH_ngtdm_Contrast        74
                                   exponential_ngtdm_Contrast        73
                     exponential_glszm_GrayLevelNonUniformity        72
                                   wavelet-LHH_ngtdm_Busyness        71
                                        wavelet-LHH_glcm_Idmn        71
                                   wavelet-LHH_ngtdm_Contrast        71
                      exponential_glszm_SizeZoneNonUniformity        70
                                   exponential_ngtdm_Busyness        70
                                  gradient_firstorder_Minimum        70
                                exponential_glcm_ClusterShade        69
                                exponential_glcm_JointAverage        69
                                  exponential_glcm_SumSquares        69
                                 exponential_glcm_JointEnergy        69
                          exponential_glcm_MaximumProbability        69
                                  exponential_glcm_SumAverage        69
                             exponential_glcm_Autocorrelation        69
                   exponential_glrlm_HighGrayLevelRunEmphasis        68
                                  exponential_glcm_SumEntropy        68
                    exponential_glrlm_LowGrayLevelRunEmphasis        68
           exponential_glrlm_GrayLevelNonUniformityNormalized        68
                          exponential_glrlm_GrayLevelVariance        68
                                    exponential_glcm_Contrast        68
                             exponential_glcm_InverseVariance        68
                                         exponential_glcm_Idn        68
                          exponential_glcm_DifferenceVariance        68
                                         exponential_glcm_Idm        68
                                        exponential_glcm_Idmn        68
                                          exponential_glcm_Id        68
                             exponential_glcm_ClusterTendency        68
                                 exponential_ngtdm_Complexity        68
                                exponential_glcm_JointEntropy        68
                           exponential_glcm_DifferenceAverage        68
                       exponential_gldm_HighGrayLevelEmphasis        67
                           exponential_glcm_DifferenceEntropy        67
                           exponential_gldm_GrayLevelVariance        67
                        exponential_gldm_LowGrayLevelEmphasis        67
                            exponential_firstorder_Uniformity        67
                               exponential_firstorder_Entropy        66
                                        exponential_glcm_Imc2        66
                           exponential_glcm_ClusterProminence        66
                             exponential_glszm_ZonePercentage        65
        exponential_gldm_SmallDependenceHighGrayLevelEmphasis        65
                                        wavelet-HHL_glcm_Idmn        64
                                        square_ngtdm_Strength        64
                                   wavelet-HHL_ngtdm_Contrast        64
                                   wavelet-HHL_ngtdm_Busyness        64
                                      square_ngtdm_Complexity        62
                      lbp-3D-m1_firstorder_InterquartileRange        58
                                   exponential_ngtdm_Strength        57
                               exponential_glszm_ZoneVariance        57
                     exponential_gldm_SmallDependenceEmphasis        55
                                             square_glcm_Idmn        52
                          exponential_glszm_GrayLevelVariance        49
                                        exponential_glcm_Imc1        48
           exponential_glszm_GrayLevelNonUniformityNormalized        48
                 logarithm_glrlm_ShortRunLowGrayLevelEmphasis        46
                               lbp-2D_firstorder_90Percentile        46
                            wavelet-HHH_firstorder_Uniformity        46
                          wavelet-HHH_glrlm_GrayLevelVariance        46
                lbp-2D_firstorder_RobustMeanAbsoluteDeviation        46
          squareroot_gldm_SmallDependenceLowGrayLevelEmphasis        45
                                logarithm_firstorder_Kurtosis        44
                           wavelet-HHH_gldm_GrayLevelVariance        43
           wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized        43
                                   logarithm_ngtdm_Coarseness        42
                               wavelet-HHH_firstorder_Entropy        42
